pmid	split	review_status	expected_cuis	disallowed_cuis	why	reviewer_note
38307660	dev	approved	C0338489|C0154723|C0338480|C0075632|C0003211|C0000970|C0024480|C0012291	C0030768|C0206488|C1709941|C3846076|C0541653|C0206176|C0730229|C5418818	Status migrainosus review abstract explicitly mentions status migrainosus, migraine with or without aura, acute migraine treatment, sumatriptan, NSAIDs, acetaminophen, magnesium sulfate, and dihydroergotamine.	Seed curation from actual abstract text.
30198804	heldout	approved	C0338489|C0154723|C0338480|C0003211|C0024480	C0030768|C0206488|C1709941|C3846076|C0541653|C0206176|C0730229|C5418818	Status migrainosus emergency-treatment abstract explicitly mentions status migrainosus, migraine with or without aura, NSAIDs, and magnesium sulfate; it does not name sumatriptan, acetaminophen, or dihydroergotamine.	Pruned topic-level treatment CUIs not present in this abstract.
39951884	dev	approved	C0007131|C1414313|C4058811|C0242792|C0220650		EGFR-mutant advanced NSCLC network meta-analysis explicitly mentions NSCLC, EGFR, osimertinib, progression-free survival, and brain metastasis status.	Pruned platinum because the abstract emphasizes chemotherapy but not a literal platinum concept.
37879444	heldout	approved	C0007131|C1414313|C4058811|C0242792|C0032207|C0220650		Amivantamab chemotherapy trial abstract explicitly mentions EGFR-mutant NSCLC, osimertinib progression, progression-free survival, carboplatin chemotherapy, and brain metastases.	Kept platinum-family expectation through carboplatin chemotherapy context.
30945014	dev	approved	C0578159|C0011991|C0343386|C0042313|C0003232	C0003392|C0004611	C. difficile review abstract explicitly mentions antibiotic therapy, diarrhea, C. difficile infection, vancomycin, and antibiotic exposure.	Per-abstract expectations match topic row.
21288078	heldout	approved	C0011991|C0343386|C0042313	C0003392|C0004611	Fidaxomicin versus vancomycin trial abstract explicitly mentions C. difficile infection, diarrhea, and vancomycin; it does not require broad antibiotic exposure or antibiotic-associated diarrhea as expected hits.	Pruned topic-level broad antibiotic expectations.
33977794	dev	approved	C0024141|C0024143|C0032914|C0033687|C0009506		Lupus-like nephropathy case-series abstract explicitly mentions SLE classification, lupus nephritis, preeclampsia, proteinuria, and complement levels.	Per-abstract expectations match topic row.
8659509	heldout	approved	C0033687|C0009506		Title-only PubMed record explicitly mentions proteinuria and hypocomplementemia; lupus, lupus nephritis, and preeclampsia are not supported by the fetched text.	Pruned unsupported topic-level disease expectations.
41052480	dev	approved	C0948008|C0003537|C0872913|C4534538		First-trimester stroke abstract explicitly mentions large vessel occlusion, expressive aphasia, tenecteplase, and mechanical thrombectomy; it does not explicitly require CTA.	Pruned CTA because fetched text says imaging but not computed tomography angiography.
37633303	heldout	approved	C0243026|C0035222|C0036983		Sepsis molecular-phenotype abstract explicitly mentions sepsis, ARDS, and septic shock trial data; it is not a COVID-19 abstract despite the topic query that found it.	Corrects topic-level COVID/AKI expectations that are not present in the fetched abstract.
32416769	dev	approved	C5203670|C0035222|C0036983|C2609414		COVID-19 AKI management abstract explicitly mentions COVID-19, ARDS, septic shock, and acute kidney injury; ventilation and prone positioning are not explicit expected hits.	Pruned unsupported ICU management concepts.
35396752	dev	approved	C1332828|C3845231|C0070166|C1999375|C1532338		CYP2C19 meta-analysis abstract explicitly mentions CYP2C19, poor metabolizers, clopidogrel, ticagrelor, and PCI.	Per-abstract expectations match topic row.
36890711	heldout	approved	C1332828|C3845231|C0070166|C1999375|C1532338		Post-PCI genotyping abstract explicitly mentions CYP2C19, poor metabolizer or poor responder genotype classes, clopidogrel, ticagrelor, and PCI.	Per-abstract expectations match topic row.
